datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
07.06.2021,"54 100,00 CZK",Platba převodem uvnitř banky,STAROSTOVÉ A NEZÁVISLÍ,STAN - převod prostředků na volební účet,NA,NA,NA,STAN - převod prostředků na volební účet
07.06.2021,"-22 000,00 CZK",Bezhotovostní platba,,"pp#16485 FO 1683/2021, cen:vs, specialista-onlinemarketingu-pro-kampan-kveten-2021, jakub-ondracek",NA,2021002,42021,"pp#16485 FO 1683/2021, cen:vs, specialista-onlinemarketingu-pro-kampan-kveten-2021, jakub-ondracek"
07.06.2021,"-4 779,50 CZK",Bezhotovostní platba,,"pp#16477 FO 1676/2021, ulk:p, online-na-facebooku-2021-0601, vratislav-filipek",NA,1676,42021,"pp#16477 FO 1676/2021, ulk:p, online-na-facebooku-2021-0601, vratislav-filipek"
07.06.2021,"-4 233,10 CZK",Karetní transakce,,"Nákup: LUFTHANSA 2461744752,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  162.04 EUR",NA,8267,NA,"Nákup: LUFTHANSA 2461744752,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  162.04 EUR"
07.06.2021,"-4 233,10 CZK",Karetní transakce,,"Nákup: LUFTHANSA 2461744751,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  162.04 EUR",NA,8267,NA,"Nákup: LUFTHANSA 2461744751,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  162.04 EUR"
07.06.2021,"-4 233,10 CZK",Karetní transakce,,"Nákup: LUFTHANSA 2461744750,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  162.04 EUR",NA,8267,NA,"Nákup: LUFTHANSA 2461744750,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  162.04 EUR"
07.06.2021,"-313,49 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539916,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539916,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR"
07.06.2021,"-313,49 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539915,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539915,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR"
07.06.2021,"-313,49 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539914,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539914,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR"
07.06.2021,"-653,10 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539913,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  25.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539913,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  25.00 EUR"
07.06.2021,"-653,10 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539912,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  25.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539912,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  25.00 EUR"
07.06.2021,"-653,10 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539911,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  25.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539911,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  25.00 EUR"
07.06.2021,"-313,49 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539910,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539910,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR"
07.06.2021,"-313,49 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539909,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539909,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR"
07.06.2021,"-313,49 CZK",Karetní transakce,,"Nákup: LUFTHANSA 1872539908,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR",NA,8267,NA,"Nákup: LUFTHANSA 1872539908,  159807703 -149807705, KOELN, 50679, BEL, dne 4.6.2021, částka  12.00 EUR"
07.06.2021,"-3 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *4P8NQ53VJ2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 6.6.2021, částka  3000.00 CZK",NA,8267,NA,"Nákup: FACEBK *4P8NQ53VJ2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 6.6.2021, částka  3000.00 CZK"
07.06.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *UPGEC5TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 6.6.2021, částka  20000.00 CZK",NA,8267,NA,"Nákup: FACEBK *UPGEC5TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 6.6.2021, částka  20000.00 CZK"
05.06.2021,"-3 000,00 CZK",Karetní transakce,,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 4.6.2021, částka  3000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 4.6.2021, částka  3000.00 CZK"
05.06.2021,"-12 000,00 CZK",Karetní transakce,,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 4.6.2021, částka  12000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 4.6.2021, částka  12000.00 CZK"
05.06.2021,"-1 000,00 CZK",Karetní transakce,,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 4.6.2021, částka  1000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 4.6.2021, částka  1000.00 CZK"
05.06.2021,"-5 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *Y96CK4KSB2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  5000.00 CZK",NA,8267,NA,"Nákup: FACEBK *Y96CK4KSB2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  5000.00 CZK"
05.06.2021,"-15 762,56 CZK",Karetní transakce,,"Nákup: mytrip_cz_L9GUN8,  Dragarbrunnsgatan 40, Uppsala, 753 20, SWE, dne 4.6.2021, částka  15762.56 CZK",NA,8267,NA,"Nákup: mytrip_cz_L9GUN8,  Dragarbrunnsgatan 40, Uppsala, 753 20, SWE, dne 4.6.2021, částka  15762.56 CZK"
05.06.2021,"-5 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *M6Q2N4TRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  5000.00 CZK",NA,6835,NA,"Nákup: FACEBK *M6Q2N4TRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  5000.00 CZK"
05.06.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *E6MMN4KVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  20000.00 CZK",NA,8267,NA,"Nákup: FACEBK *E6MMN4KVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 4.6.2021, částka  20000.00 CZK"
04.06.2021,"-10 964,44 CZK",Karetní transakce,,"Nákup: Hotel at Booking.com,  Weteringschans 28, Amsterdam, 1017 SG, NLD, dne 4.6.2021, částka  419.20 EUR",NA,8267,NA,"Nákup: Hotel at Booking.com,  Weteringschans 28, Amsterdam, 1017 SG, NLD, dne 4.6.2021, částka  419.20 EUR"
04.06.2021,"-15 000,00 CZK",Bezhotovostní platba,,"pp#16471 FO 1670/2021, pha:p, proplaceni-snemovni-kampan-stan-praha-202105, vitezslav_klement",NA,20210036,42021,"pp#16471 FO 1670/2021, pha:p, proplaceni-snemovni-kampan-stan-praha-202105, vitezslav_klement"
04.06.2021,"-45 000,00 CZK",Bezhotovostní platba,,"pp#16467 FO 1666/2021, pha:p, proplaceni-volebni-produkce-ks-praha-202105, oskarrejchrt",NA,2021005,42021,"pp#16467 FO 1666/2021, pha:p, proplaceni-volebni-produkce-ks-praha-202105, oskarrejchrt"
04.06.2021,"-16 000,00 CZK",Platba převodem uvnitř banky,,"pp#16459 FO 1658/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, jindriska-kolarikova",NA,202101,42021,"pp#16459 FO 1658/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, jindriska-kolarikova"
04.06.2021,"-50 000,00 CZK",Bezhotovostní platba,,"pp#16455 FO 1654/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202105, laureenhollge",NA,20210009,42021,"pp#16455 FO 1654/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202105, laureenhollge"
04.06.2021,"-20 000,00 CZK",Bezhotovostní platba,,"pp#16450 FO 1649/2021, cen:vs, provoz-infolinky-za-mesic-kveten-2021, blanka-charvatova",NA,20210602,42021,"pp#16450 FO 1649/2021, cen:vs, provoz-infolinky-za-mesic-kveten-2021, blanka-charvatova"
04.06.2021,"-8 000,00 CZK",Bezhotovostní platba,,"pp#16449 FO 1648/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, petr-oprsal",NA,20210601,42021,"pp#16449 FO 1648/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, petr-oprsal"
04.06.2021,"-16 000,00 CZK",Bezhotovostní platba,,"pp#16448 FO 1647/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, matej-belohoubek",NA,202105,42021,"pp#16448 FO 1647/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, matej-belohoubek"
04.06.2021,"-16 000,00 CZK",Bezhotovostní platba,,"pp#16447 FO 1646/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, michal-soltys",NA,202101,42021,"pp#16447 FO 1646/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, michal-soltys"
04.06.2021,"-8 000,00 CZK",Bezhotovostní platba,,"pp#16446 FO 1645/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, renata-erzsebet-nemeth",NA,20210601,42021,"pp#16446 FO 1645/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, renata-erzsebet-nemeth"
04.06.2021,"-16 000,00 CZK",Bezhotovostní platba,,"pp#16445 FO 1644/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, mgr-ondrej-herzan",NA,20210601,42021,"pp#16445 FO 1644/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-kveten, mgr-ondrej-herzan"
04.06.2021,"-40 978,00 CZK",Bezhotovostní platba,,"pp#16437 FO 1635/2021, pha:p, proplaceni-media-manazer-pro-ks-praha-michal-polak-202105, michalpolak",NA,20210006,NA,"pp#16437 FO 1635/2021, pha:p, proplaceni-media-manazer-pro-ks-praha-michal-polak-202105, michalpolak"
04.06.2021,"-7 000,00 CZK",Bezhotovostní platba,,"pp#16432 FO 1631/2021, cen:mo, proplaceni-copyrighting-202105, andreamadlova",NA,20210003,NA,"pp#16432 FO 1631/2021, cen:mo, proplaceni-copyrighting-202105, andreamadlova"
04.06.2021,"-40 000,00 CZK",Bezhotovostní platba,,"pp#16425 FO 1624/2021, cen:mo, proplaceni-vedouci-odpovidacu-202106, michalzachar",NA,60062021,NA,"pp#16425 FO 1624/2021, cen:mo, proplaceni-vedouci-odpovidacu-202106, michalzachar"
04.06.2021,"-15 000,00 CZK",Bezhotovostní platba,,"pp#16418 FO 1622/2021, cen:mo, proplaceni-strategie-a-sprava-instagramoveho-profilu-202105, jaromirhorky",NA,20210601,NA,"pp#16418 FO 1622/2021, cen:mo, proplaceni-strategie-a-sprava-instagramoveho-profilu-202105, jaromirhorky"
04.06.2021,"-1 500,00 CZK",Bezhotovostní platba,,"pp#16261 FO 1475/2021, cen:vs, poplatek-za-uzivani-verejneho-prostranstvi-zahajeni, mc-praha-1",3418,1302406031,42021,"pp#16261 FO 1475/2021, cen:vs, poplatek-za-uzivani-verejneho-prostranstvi-zahajeni, mc-praha-1"
04.06.2021,"-199,98 CZK",Karetní transakce,,"Nákup: FACEBK *KM6NL4P3Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.6.2021, částka  199.98 CZK",NA,6835,NA,"Nákup: FACEBK *KM6NL4P3Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.6.2021, částka  199.98 CZK"
03.06.2021,"-2 000,00 CZK",Bezhotovostní platba,,"pp#16426 FO 1625/2021, cen:vs, fotograf-lidr-tour-vitek-fb, adam-heres",308,20210005,42021,"pp#16426 FO 1625/2021, cen:vs, fotograf-lidr-tour-vitek-fb, adam-heres"
03.06.2021,"-2 780,00 CZK",Bezhotovostní platba,,"pp#16412 FO 1616/2021, jhc:p, obcerstveni-foceni, delame-to-jinak-sro",NA,20211,42021,"pp#16412 FO 1616/2021, jhc:p, obcerstveni-foceni, delame-to-jinak-sro"
03.06.2021,"-3 303,00 CZK",Platba převodem uvnitř banky,,"pp#16411 FO 1615/2021, jhc:p, brozura-a-archy-na-placky, tiskarna-posekany",NA,320210374,42021,"pp#16411 FO 1615/2021, jhc:p, brozura-a-archy-na-placky, tiskarna-posekany"
03.06.2021,"-10 500,00 CZK",Bezhotovostní platba,,"pp#16295 FO 1506/2021, cen:vs, fotograf-lidr-tour, cityboys-sro",NA,20210501,42021,"pp#16295 FO 1506/2021, cen:vs, fotograf-lidr-tour, cityboys-sro"
03.06.2021,"-5 000,00 CZK",Karetní transakce,,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 2.6.2021, částka  5000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 2.6.2021, částka  5000.00 CZK"
03.06.2021,"-3 047,00 CZK",Bezhotovostní platba,,"pp#16408 FO 1612/2021, khk:p, podpora-ks-52021, alena-valentova",NA,206202101,NA,"pp#16408 FO 1612/2021, khk:p, podpora-ks-52021, alena-valentova"
03.06.2021,"-22 000,00 CZK",Bezhotovostní platba,,"pp#16405 FO 1609/2021, cen:mo, proplaceni-analytik-psavec-202105, jakubdusanek",NA,2021005,NA,"pp#16405 FO 1609/2021, cen:mo, proplaceni-analytik-psavec-202105, jakubdusanek"
03.06.2021,"-2 001,88 CZK",Platba převodem uvnitř banky,,"pp#16400 FO 1604/2021, pha_praha3:p, propagace-pirati-praha-3-na-fb-kveten-2021, facebook-ireland-ltd",NA,1604,NA,"pp#16400 FO 1604/2021, pha_praha3:p, propagace-pirati-praha-3-na-fb-kveten-2021, facebook-ireland-ltd"
03.06.2021,"-43 500,00 CZK",Bezhotovostní platba,,"pp#16399 FO 1603/2021, cen:mo, proplaceni-sefredaktor-piratskych-listu-a-pr-spojka-pro-pardubicky-a-liberecky-kraj-202105, michalchalupa",NA,52021,NA,"pp#16399 FO 1603/2021, cen:mo, proplaceni-sefredaktor-piratskych-listu-a-pr-spojka-pro-pardubicky-a-liberecky-kraj-202105, michalchalupa"
03.06.2021,"-40 000,00 CZK",Bezhotovostní platba,,"pp#16397 FO 1601/2021, cen:vs, pr-podpora-kampane-kveten, eva-marinicova",NA,20210003,42021,"pp#16397 FO 1601/2021, cen:vs, pr-podpora-kampane-kveten, eva-marinicova"
03.06.2021,"-1 000,00 CZK",Bezhotovostní platba,,"pp#16394 FO 1599/2021, cen:vs, produkcni-cinnost, pavel-salcak",NA,202106,42021,"pp#16394 FO 1599/2021, cen:vs, produkcni-cinnost, pavel-salcak"
03.06.2021,"-5 033,60 CZK",Bezhotovostní platba,,"pp#16390 FO 1595/2021, cen:vs, mobilboard-pro-jihomoravsky-kraj, mobilboard-sro",NA,212900022,42021,"pp#16390 FO 1595/2021, cen:vs, mobilboard-pro-jihomoravsky-kraj, mobilboard-sro"
03.06.2021,"-3 569,50 CZK",Bezhotovostní platba,,"pp#16389 FO 1594/2021, cen:vs, mobilboard-pro-karlovarsky-kraj, mobilboard-sro",NA,212900034,42021,"pp#16389 FO 1594/2021, cen:vs, mobilboard-pro-karlovarsky-kraj, mobilboard-sro"
03.06.2021,"-4 950,00 CZK",Bezhotovostní platba,,"pp#16388 FO 1593/2021, zlk:p, tvorba-grafiky, jaromir-horky",308,20210503,42021,"pp#16388 FO 1593/2021, zlk:p, tvorba-grafiky, jaromir-horky"
03.06.2021,"-140 118,00 CZK",Bezhotovostní platba,,"pp#16377 FO 1583/2021, cen:vs, zajisteni-av-techniky-pro-zahajeni-kampane, martin-krupa",NA,20210007,42021,"pp#16377 FO 1583/2021, cen:vs, zajisteni-av-techniky-pro-zahajeni-kampane, martin-krupa"
03.06.2021,"-22 000,00 CZK",Bezhotovostní platba,,"pp#16332 FO 1542/2021, cen:mo, proplaceni-analyticka-psavkyne-202104, veronikasmidova",NA,20210001,NA,"pp#16332 FO 1542/2021, cen:mo, proplaceni-analyticka-psavkyne-202104, veronikasmidova"
02.06.2021,"-5 000,00 CZK",Karetní transakce,,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 1.6.2021, částka  5000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 1.6.2021, částka  5000.00 CZK"
02.06.2021,"-3 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *XNQUR4BVJ2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 2.6.2021, částka  3000.00 CZK",NA,8267,NA,"Nákup: FACEBK *XNQUR4BVJ2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 2.6.2021, částka  3000.00 CZK"
02.06.2021,"-10 800,00 CZK",Bezhotovostní platba,,"pp#16380 FO 1586/2021, cen:mo, proplaceni-zastupce-vedouciho-odpovidacu-ivana-hlusickova-202105, ivanahlusickova",NA,20210013,NA,"pp#16380 FO 1586/2021, cen:mo, proplaceni-zastupce-vedouciho-odpovidacu-ivana-hlusickova-202105, ivanahlusickova"
02.06.2021,"-4 900,00 CZK",Bezhotovostní platba,,"pp#16371 FO 1577/2021, cen:mo, ppc-kveten, dean-brabec",NA,20210021,NA,"pp#16371 FO 1577/2021, cen:mo, ppc-kveten, dean-brabec"
02.06.2021,"-8 750,00 CZK",Bezhotovostní platba,,"pp#16370 FO 1576/2021, cen:mo, sprava-ppc-kampani-kveten, andrea-zelingrova",NA,20210039,NA,"pp#16370 FO 1576/2021, cen:mo, sprava-ppc-kampani-kveten, andrea-zelingrova"
02.06.2021,"-20 000,00 CZK",Platba převodem uvnitř banky,,"pp#16362 FO 1569/2021, cen:mo, proplaceni-junior-mo-202104, alesvopat",NA,20210008,NA,"pp#16362 FO 1569/2021, cen:mo, proplaceni-junior-mo-202104, alesvopat"
02.06.2021,"-5 000,00 CZK",Bezhotovostní platba,,"pp#16354 FO 1561/2021, cen:mo, proplaceni-sprava-twitteroveho-uctu-202105, ondrejtuma",NA,20210013,NA,"pp#16354 FO 1561/2021, cen:mo, proplaceni-sprava-twitteroveho-uctu-202105, ondrejtuma"
02.06.2021,"-29 000,00 CZK",Bezhotovostní platba,,"pp#16324 FO 1534/2021, cen:mo, proplaceni-social-media-manager-202105, janvrobel",NA,90,NA,"pp#16324 FO 1534/2021, cen:mo, proplaceni-social-media-manager-202105, janvrobel"
02.06.2021,"-19 360,00 CZK",Bezhotovostní platba,,"pp#16292 FO 1503/2021, cen:vs, tisk-programove-brozury-a5, jiri-weiner",NA,202110113,42021,"pp#16292 FO 1503/2021, cen:vs, tisk-programove-brozury-a5, jiri-weiner"
01.06.2021,"-30 000,00 CZK",Platba převodem uvnitř banky,,"pp#16369 FO 1575/2021, zlk:p, proplaceni-prikazni-smlouva-medialni-specialistky-zlk-202105, luciesvehlikova",NA,20210601,NA,"pp#16369 FO 1575/2021, zlk:p, proplaceni-prikazni-smlouva-medialni-specialistky-zlk-202105, luciesvehlikova"
01.06.2021,"-53 966,00 CZK",Bezhotovostní platba,,"pp#16367 FO 1574/2021, cen:vs, pronajem-reklamnich-ploch-mhd-kraj-olomoucky-92021, age-reklamni-agentura-sro",NA,20027,42021,"pp#16367 FO 1574/2021, cen:vs, pronajem-reklamnich-ploch-mhd-kraj-olomoucky-92021, age-reklamni-agentura-sro"
01.06.2021,"-66 201,52 CZK",Bezhotovostní platba,,"pp#16366 FO 1573/2021, cen:vs, pronajem-reklamnich-ploch-mhd-kraj-praha-92021, age-reklamni-agentura-sro",NA,20025,42021,"pp#16366 FO 1573/2021, cen:vs, pronajem-reklamnich-ploch-mhd-kraj-praha-92021, age-reklamni-agentura-sro"
01.06.2021,"-18 029,00 CZK",Bezhotovostní platba,,"pp#16364 FO 1571/2021, cen:vs, pronajem-reklamnich-ploch-mhd-kraj-jihocesky-92021, age-reklamni-agentura-sro",NA,20028,42021,"pp#16364 FO 1571/2021, cen:vs, pronajem-reklamnich-ploch-mhd-kraj-jihocesky-92021, age-reklamni-agentura-sro"
01.06.2021,"-3 872,00 CZK",Bezhotovostní platba,,"pp#16310 FO 1520/2021, cen:vs, expres-banner, graf-print-sro",NA,68121,42021,"pp#16310 FO 1520/2021, cen:vs, expres-banner, graf-print-sro"
01.06.2021,"-178 000,00 CZK",Bezhotovostní platba,,"pp#16363 FO 1570/2021, cen:vs, foceni-kampane-pro-piraty-a-starosty, jan-hromadko",NA,1105,42021,"pp#16363 FO 1570/2021, cen:vs, foceni-kampane-pro-piraty-a-starosty, jan-hromadko"
01.06.2021,"-3 000,00 CZK",Platba převodem uvnitř banky,,"pp#16360 FO 1567/2021, kvk:p, upravy-fotografii, miroslav-novy",NA,20210005,42021,"pp#16360 FO 1567/2021, kvk:p, upravy-fotografii, miroslav-novy"
01.06.2021,"-15 000,00 CZK",Platba převodem uvnitř banky,,"pp#16359 FO 1566/2021, kvk:p, foceni-kandidatu-fotograf, miroslav-novy",308,20210004,42021,"pp#16359 FO 1566/2021, kvk:p, foceni-kandidatu-fotograf, miroslav-novy"
01.06.2021,"-15 000,00 CZK",Bezhotovostní platba,,"pp#16352 FO 1559/2021, jhc:p, simon-blaschko-kveten, simon-blaschko",NA,20210006,42021,"pp#16352 FO 1559/2021, jhc:p, simon-blaschko-kveten, simon-blaschko"
