datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
17.05.2021,"-839,64 CZK",Karetní transakce,,"Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.5.2021, částka  39.00 USD",NA,3344,NA,"Nákup: SWITCHER ESSENTIALS,  1205 E Washington StSuite 117, LOUISVILLE, 40206, USA, dne 16.5.2021, částka  39.00 USD"
15.05.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *VZ99C6TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 14.5.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *VZ99C6TAN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 14.5.2021, částka  20000.00 CZK"
13.05.2021,"-3 000 000,00 CZK",Bezhotovostní platba,,tisk a distribuce volebních novin,308,21001,NA,tisk a distribuce volebních novin
13.05.2021,"-1 162,00 CZK",Bezhotovostní platba,,"středočeský, výlep plakátů",308,5793285,NA,"středočeský, výlep plakátů"
13.05.2021,"-2 222,00 CZK",Bezhotovostní platba,,"zlínský, kytice na pietní akci",308,5676685,NA,"zlínský, kytice na pietní akci"
13.05.2021,"-728,60 CZK",Bezhotovostní platba,,"zlínský, phm, lepidlo",308,4524,NA,"zlínský, phm, lepidlo"
13.05.2021,"-18 150,00 CZK",Platba převodem uvnitř banky,,"ústecký, reklamní plochy, plakáty",308,202107,NA,"ústecký, reklamní plochy, plakáty"
13.05.2021,"-436,00 CZK",Bezhotovostní platba,,"zlínský, plakátování",308,82021,NA,"zlínský, plakátování"
13.05.2021,"-2 692 870,00 CZK",Bezhotovostní platba,,výroba audiovizuálního díla,308,202121006,NA,výroba audiovizuálního díla
13.05.2021,"6 000 000,00 CZK",Platba převodem uvnitř banky,Svoboda a přímá demokracie (SPD),Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021,NA,NA,NA,Převod prostředků z transparentního účtu na volební účet SPD - volby do PS 2021
10.05.2021,"-20 000,00 CZK",Karetní transakce,,"Nákup: FACEBK *RVDBB57AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 9.5.2021, částka  20000.00 CZK",NA,3344,NA,"Nákup: FACEBK *RVDBB57AN2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 9.5.2021, částka  20000.00 CZK"
