datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
26.05.2021,"-7 260,00 CZK",Karetní transakce,,"Nákup: FACEBK *PFWMX2TE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.5.2021, částka  7260.00 CZK",NA,8013,NA,"Nákup: FACEBK *PFWMX2TE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.5.2021, částka  7260.00 CZK"
21.05.2021,"-200,00 CZK",Platba převodem uvnitř banky,,Petr Záhora - Převod daru poslané na volební účet místo na zvláštní účet kampaně,NA,NA,NA,Petr Záhora - Převod daru poslané na volební účet místo na zvláštní účet kampaně
21.05.2021,"-1 000,00 CZK",Platba převodem uvnitř banky,,Jiří Daňhel - Převod daru poslané na volební účet místo na zvláštní účet kampaně,NA,NA,NA,Jiří Daňhel - Převod daru poslané na volební účet místo na zvláštní účet kampaně
21.05.2021,"-4 840,00 CZK",Karetní transakce,,"Nákup: FACEBK *4698T2FE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.5.2021, částka  4840.00 CZK",NA,8013,NA,"Nákup: FACEBK *4698T2FE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.5.2021, částka  4840.00 CZK"
20.05.2021,"-3 025,00 CZK",Karetní transakce,,"Nákup: FACEBK *77BVK37E62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.5.2021, částka  3025.00 CZK",NA,8013,NA,"Nákup: FACEBK *77BVK37E62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 19.5.2021, částka  3025.00 CZK"
19.05.2021,"1 000,00 CZK",Okamžitá příchozí platba,Jíří Daňhel,Dar na volby,NA,NA,NA,Jíří Daňhel
19.05.2021,"200,00 CZK",Okamžitá příchozí platba,Záhora Petr,,0,NA,NA,Záhora Petr
19.05.2021,"-500,00 CZK",Platba převodem uvnitř banky,,Převod daru poslané na volební účet místo na zvláštní účet kampaně,NA,NA,NA,Převod daru poslané na volební účet místo na zvláštní účet kampaně
19.05.2021,"-2 000,00 CZK",Platba převodem uvnitř banky,,Převod daru poslané na volební účet místo na zvláštní účet kampaně,NA,NA,NA,Převod daru poslané na volební účet místo na zvláštní účet kampaně
19.05.2021,"-500,00 CZK",Platba převodem uvnitř banky,,Převod daru poslané na volební účet místo na zvláštní účet kampaně,NA,NA,NA,Převod daru poslané na volební účet místo na zvláštní účet kampaně
19.05.2021,"-187 550,00 CZK",Bezhotovostní platba,,Reklamní kampan - Přísaha polep BUS -  období 04 - 2021,308,202163,NA,"Reklamní kampan - Přísaha polep BUS -  období 04 - 2021, příjemce platby Šimway s.r.o."
19.05.2021,"150 000,00 CZK",Platba převodem uvnitř banky,PŘÍSAHA - občanské hnutí Roberta Šlachty,Převod na volební účet PŘÍSAHA,NA,NA,NA,Převod na volební účet PŘÍSAHA
19.05.2021,"-2 117,50 CZK",Karetní transakce,,"Nákup: FACEBK *SARK47KE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 18.5.2021, částka  2117.50 CZK",NA,8013,NA,"Nákup: FACEBK *SARK47KE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 18.5.2021, částka  2117.50 CZK"
18.05.2021,"-1 512,50 CZK",Karetní transakce,,"Nákup: FACEBK *4RCKQ2FE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.5.2021, částka  1512.50 CZK",NA,8013,NA,"Nákup: FACEBK *4RCKQ2FE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 17.5.2021, částka  1512.50 CZK"
17.05.2021,"-907,50 CZK",Karetní transakce,,"Nákup: FACEBK *WS3HH37E62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 16.5.2021, částka  907.50 CZK",NA,8013,NA,"Nákup: FACEBK *WS3HH37E62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 16.5.2021, částka  907.50 CZK"
17.05.2021,"-907,50 CZK",Karetní transakce,,"Nákup: FACEBK *5SY2Q2TE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 16.5.2021, částka  907.50 CZK",NA,8013,NA,"Nákup: FACEBK *5SY2Q2TE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 16.5.2021, částka  907.50 CZK"
17.05.2021,"-605,00 CZK",Karetní transakce,,"Nákup: FACEBK *MKL5Z23F62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 15.5.2021, částka  605.00 CZK",NA,8013,NA,"Nákup: FACEBK *MKL5Z23F62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 15.5.2021, částka  605.00 CZK"
17.05.2021,"-605,00 CZK",Karetní transakce,,"Nákup: FACEBK *G49K93BE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 15.5.2021, částka  605.00 CZK",NA,8013,NA,"Nákup: FACEBK *G49K93BE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 15.5.2021, částka  605.00 CZK"
15.05.2021,"-605,00 CZK",Karetní transakce,,"Nákup: FACEBK *5SAXY6KE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 14.5.2021, částka  605.00 CZK",NA,8013,NA,"Nákup: FACEBK *5SAXY6KE62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 14.5.2021, částka  605.00 CZK"
12.05.2021,"500,00 CZK",Bezhotovostní příjem,hotovostní vklad ATM,"vloženo v ATM 4947451161XXXXXX2349 dne 12052021Most, Bankovni 1300BOUKAL/FRANTISEK",0,12052021,1007394013,hotovostní vklad ATM
10.05.2021,"2 000,00 CZK",Okamžitá příchozí platba,BRŮŽA MIROSLAV,Dar Miroslav Brůža,NA,NA,NA,BRŮŽA MIROSLAV
07.05.2021,"-9,00 CZK",Poplatek - platební karta,,"Poplatek - dotaz na zůstatek v ATM: CSOB 4099 LODENICE, Lodenice, CZE, dne 6.5.2021",NA,8013,NA,"Poplatek - dotaz na zůstatek v ATM: CSOB 4099 LODENICE, Lodenice, CZE, dne 6.5.2021"
06.05.2021,"100 000,00 CZK",Platba převodem uvnitř banky,PŘÍSAHA - občanské hnutí Roberta Šlachty,Převod na volební účet PŘÍSAHA,NA,NA,NA,Převod na volební účet PŘÍSAHA
04.05.2021,"500,00 CZK",Bezhotovostní příjem,PETR KLIMEK,DAR SPOLKU,NA,NA,NA,PETR KLIMEK
03.05.2021,"-186 200,00 CZK",Bezhotovostní platba,,Reklama na sociálních sítí 04 - 2021,308,202155,NA,"Reklama na sociálních sítí 04 - 2021, příjemce platby Šimway s.r.o."
03.05.2021,"-206 650,00 CZK",Bezhotovostní platba,,Tisk letáků 100 000ks a 600 bannerů,308,202156,NA,"Tisk letáků 100 000ks a 600 bannerů, příjemce platby Šimway s.r.o."
03.05.2021,"310 000,00 CZK",Platba převodem uvnitř banky,PŘÍSAHA - občanské hnutí Roberta Šlachty,Převod na volební účet PŘÍSAHA,NA,NA,NA,Převod na volební účet PŘÍSAHA
27.04.2021,"-208 450,00 CZK",Bezhotovostní platba,,"Tisk letáků, 1 mil. kusů",308,21100157,NA,"Tisk letáků, 1 mil. kusů, příjemce platby Tiskárna Bílý Slon s.r.o."
27.04.2021,"-2 607,55 CZK",Bezhotovostní platba,,"Reklamní banner 3,5 x 0,3m, 5 kusů vč. výlepu",NA,4212100685,NA,"Reklamní banner 3,5 x 0,3m, 5 kusů vč. výlepu. příjemce platby BigMedia s.r.o."
27.04.2021,"300 000,00 CZK",Platba převodem uvnitř banky,PŘÍSAHA - občanské hnutí Roberta Šlachty,Převod na účet PŘÍSAHA - VOLEBNÍ ÚČET,NA,NA,NA,Převod na účet PŘÍSAHA - VOLEBNÍ ÚČET
27.04.2021,"-500,00 CZK",Okamžitá odchozí platba,,"Dobrý den, děkujeme za dar, bohužel byl zaslán na špatný účet a musíme ho vrátit. Děkujeme za pochopení",NA,NA,NA,"Dobrý den, děkujeme za dar, bohužel byl zaslán na špatný účet a musíme ho vrátit. Děkujeme za pochopení"
21.04.2021,"500,00 CZK",Okamžitá příchozí platba,Tichopád Aleš,Tichopád Aleš,0,NA,NA,Tichopád Aleš
