baseInfo.accountBalance,baseInfo.paymentTypeId,baseInfo.accountingOrder,baseInfo.idTran,baseInfo.idZp,baseInfo.accountingTypeId,baseInfo.accountingTypeCode,baseInfo.ccTypeCode,baseInfo.bankReference,baseInfo.transactionTypeCode,baseInfo.transactionDescription,baseInfo.transactionNote,baseInfo.typeOfBreakdownCode,baseInfo.transactionGroupCode,baseInfo.generalTextList,baseInfo.accountAmountData.amount,baseInfo.accountAmountData.currencyCode,baseInfo.accountingDate.dayOfYear,baseInfo.accountingDate.dayOfWeek,baseInfo.accountingDate.month,baseInfo.accountingDate.dayOfMonth,baseInfo.accountingDate.year,baseInfo.accountingDate.monthValue,baseInfo.accountingDate.nano,baseInfo.accountingDate.hour,baseInfo.accountingDate.minute,baseInfo.accountingDate.second,baseInfo.accountingDate.chronology.calendarType,baseInfo.accountingDate.chronology.id,transactionTypeChoice.crossborderPayment,transactionTypeChoice.sepaCreditTransfer,transactionTypeChoice.tbca,transactionTypeChoice.fee,transactionTypeChoice.externalAccountTransaction,transactionTypeChoice.otherTransaction,transactionTypeChoice.domesticPayment.paymentAmountData,transactionTypeChoice.domesticPayment.exchangeRate,transactionTypeChoice.domesticPayment.partyName,transactionTypeChoice.domesticPayment.batchName,transactionTypeChoice.domesticPayment.transactionSystemComment,transactionTypeChoice.domesticPayment.debitingDate.dayOfYear,transactionTypeChoice.domesticPayment.debitingDate.dayOfWeek,transactionTypeChoice.domesticPayment.debitingDate.month,transactionTypeChoice.domesticPayment.debitingDate.dayOfMonth,transactionTypeChoice.domesticPayment.debitingDate.year,transactionTypeChoice.domesticPayment.debitingDate.monthValue,transactionTypeChoice.domesticPayment.debitingDate.nano,transactionTypeChoice.domesticPayment.debitingDate.hour,transactionTypeChoice.domesticPayment.debitingDate.minute,transactionTypeChoice.domesticPayment.debitingDate.second,transactionTypeChoice.domesticPayment.debitingDate.chronology.calendarType,transactionTypeChoice.domesticPayment.debitingDate.chronology.id,transactionTypeChoice.domesticPayment.partyAccount.internalAccount,transactionTypeChoice.domesticPayment.partyAccount.foreignAccount,transactionTypeChoice.domesticPayment.partyAccount.domesticAccount.accountNumber,transactionTypeChoice.domesticPayment.partyAccount.domesticAccount.bankCode,transactionTypeChoice.domesticPayment.symbols.variableSymbol,transactionTypeChoice.domesticPayment.symbols.specificSymbol,transactionTypeChoice.domesticPayment.symbols.constantSymbol,transactionTypeChoice.domesticPayment.message.message1,transactionTypeChoice.domesticPayment.message.message2,transactionTypeChoice.domesticPayment.message.message3,transactionTypeChoice.domesticPayment.message.message4
15650149.51,,,,9617468763,3,C,11,202108180101984C,11,Příchozí úhrada,,,T,,5128,CZK,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KOMUNISTICKÁ STRANA,,,230,WEDNESDAY,AUGUST,18,2021,8,0,0,0,0,iso8601,ISO,,,2136331,0100,0000034101,0000023121,0308,Převod od OV KSČM Cheb,,,
15609953.51,,,,9614912001,3,C,11,202108170222660C,11,Příchozí úhrada,,,T,,100,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,OKRESNÍ VÝBOR KOMUNI,,,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,737221,0100,0000032112,"",0000,TÚ převod od OV KSČM RAKOVNÍK,,,
15627562.51,,,,9615090574,3,C,11,202108170271317C,11,Příchozí úhrada,,,T,,1000,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KSČM,,,,,,,,,,,,,,,,,478648033,0300,9,,0000,Chlup Jaroslav - fin.dar pro v,olby PS PČR,,
15626562.51,,,,9615090573,3,C,11,202108170271307C,11,Příchozí úhrada,,,T,,12614,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KSČM,,,,,,,,,,,,,,,,,478648033,0300,38100,,0000,Luzar Leo - fin.dar pro volby,PS PČR,,
15613948.51,,,,9615090572,3,C,11,202108170271311C,11,Příchozí úhrada,,,T,,16000,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KSČM,,,,,,,,,,,,,,,,,478648033,0300,35301,,0000,Kružíková Lidmila - fin.dar pr,o volby PS PČR,,
15597948.51,,,,9615090571,3,C,11,202108170271316C,11,Příchozí úhrada,,,T,,35000,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KSČM,,,,,,,,,,,,,,,,,478648033,0300,32103,,0000,Vostrá Miloslava - fin.dar pro,volby PS PČR,,
15562948.51,1,,CB0GPC2723,9615087940,3,D,11,202108170271304D,10,Odchozí úhrada,,,T,,-2537,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,1022673,,0000,volby PČR - výlep,,,
15565485.51,1,,CB0GPC2724,9615087934,3,D,11,202108170271302D,10,Odchozí úhrada,,,T,,-8105,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,1022698,,0000,volby PČR - výlep,,,
15573590.51,1,,CB0GPC2725,9615087928,3,D,11,202108170271328D,10,Odchozí úhrada,,,T,,-12614,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,MARF s.r.o.,,,,,,,,,,,,,,,,,241299250,0300,202101163,,0000,volby PČR - plakáty,,,
15586204.51,1,,CB0GPC2722,9615087919,3,D,11,202108170271303D,10,Odchozí úhrada,,,T,,-23749,CZK,229,TUESDAY,AUGUST,17,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,1022533,,0000,volby PČR - výlep,,,
15770390.51,1,,CB0GOC6369,9610631535,3,D,11,202108160430483D,10,Odchozí úhrada,,,T,,-54450,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,ČESKÝ METROPOL s.r.o.,,,,,,,,,,,,,,,,,7120383001,5500,210007,,0000,volby PČR - inzerce,,,
15609853.51,1,,CB0GOC6384,9610631583,3,D,11,202108160430503D,10,Odchozí úhrada,,,T,,-100,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Městys Protivanov,,,,,,,,,,,,,,,,,1922701,0100,2021059,,0000,volby PČR - reklamní kampaň,,,
15609953.51,1,,CB0GOC6370,9610631582,3,D,11,202108160430484D,10,Odchozí úhrada,,,T,,-100,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Městský úřad Rakovník,,,,,,,,,,,,,,,,,51005100,0300,5140029600,,0000,volby PČR - poplatek,,,
15610053.51,1,,CB0GOC6373,9610631580,3,D,11,202108160430490D,10,Odchozí úhrada,,,T,,-172,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Město Němčice nad Hanou,,,,,,,,,,,,,,,,,155969756,0300,2100200167,,0000,volby PČR - poplatek,,,
15610225.51,1,,CB0GOC6386,9610631576,3,D,11,202108160430480D,10,Odchozí úhrada,,,T,,-1140,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"TEPVOS, spol. s r.o.",,,,,,,,,,,,,,,,,168752599,0300,41210350,,0000,volby PČR - výlep,,,
15611365.51,1,,CB0GOC6380,9610631573,3,D,11,202108160430501D,10,Odchozí úhrada,,,T,,-1161.6,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"TECHNICKÝ A DOPRAVNÍ SERVIS, s",,,,,,,,,,,,,,,,,8862840237,0100,2210612,,0000,volby PČR - výlep,,,
15612527.11,1,,CB0GOC6374,9610631571,3,D,11,202108160430492D,10,Odchozí úhrada,,,T,,-1452,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"CONFIDENCE MEDIA, s.r.o.",,,,,,,,,,,,,,,,,175221868,0300,2120158,,0000,volby PČR - tisk plakátu+trans,port,,
15613979.11,1,,CB0GOC6371,9610631568,3,D,11,202108160430486D,10,Odchozí úhrada,,,T,,-5917,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Jaroslav Blecha,,,,,,,,,,,,,,,,,860541200267,0100,5,,0000,volby PČR - přeprava osob,,,
15619896.11,1,,CB0GOC6375,9610631567,3,D,11,202108160430494D,10,Odchozí úhrada,,,T,,-6000,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Stanislav Slamka,,,,,,,,,,,,,,,,,2000451767,2010,12021,,0000,volby PČR - hudební produkce,,,
15625896.11,1,,CB0GOC6382,9610631563,3,D,11,202108160430500D,10,Odchozí úhrada,,,T,,-6200,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"Veletrhy Brno, a.s.",,,,,,,,,,,,,,,,,3401803,0300,4121003849,,0000,volby PČR - pronájem zařízení,,,
15632096.11,1,,CB0GOC6385,9610631562,3,D,11,202108160430505D,10,Odchozí úhrada,,,T,,-6655,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RAILREKLAM, spol. s r.o.",,,,,,,,,,,,,,,,,1387406850,2700,2100132,,0000,volby PČR - reklama,,,
15638751.11,1,,CB0GOC6377,9610631561,3,D,11,202108160430495D,10,Odchozí úhrada,,,T,,-7502,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,VENDI s.r.o.,,,,,,,,,,,,,,,,,9604410247,0100,2100504,,0000,volby PČR - nájem BB,,,
15646253.11,1,,CB0GOC6367,9610631557,3,D,11,202108160430478D,10,Odchozí úhrada,,,T,,-7800,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,RNDr. Tomáš Kaláb,,,,,,,,,,,,,,,,,2001166175,2010,21032,,0000,volby PČR - čaj,,,
15654053.11,1,,CB0GOC6378,9610631554,3,D,11,202108160430497D,10,Odchozí úhrada,,,T,,-8232,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Lenka Horáková,,,,,,,,,,,,,,,,,4188699033,0800,2021080,,0000,volby PČR - reklamní služby,,,
15662285.11,1,,CB0GOC6368,9610631553,3,D,11,202108160430504D,10,Odchozí úhrada,,,T,,-8349,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RAILREKLAM, spol. s r.o.",,,,,,,,,,,,,,,,,1387406850,2700,2100133,,0000,volby PČR - výroba materiálů,,,
15670634.11,1,,CB0GOC6372,9610631549,3,D,11,202108160430488D,10,Odchozí úhrada,,,T,,-9317,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"CONFIDENCE MEDIA, s.r.o.",,,,,,,,,,,,,,,,,175221868,0300,2120156,,0000,volby PČR - pronájem,,,
15679951.11,1,,CB0GOC6376,9610631548,3,D,11,202108160430496D,10,Odchozí úhrada,,,T,,-15000,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Václav Žákovec,,,,,,,,,,,,,,,,,135587064,0300,62021,,0000,volby PČR - hudební produkce,,,
15694951.11,1,,CB0GOC6381,9610631544,3,D,11,202108160430499D,10,Odchozí úhrada,,,T,,-18150,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"MISE MÉDIA, s.r.o.",,,,,,,,,,,,,,,,,234038730,0300,2110158,,0000,volby PČR - inzerce,,,
15713101.11,1,,CB0GOC6383,9610631540,3,D,11,202108160430502D,10,Odchozí úhrada,,,T,,-27959,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,1022420,,0000,volby PČR - výlep,,,
15741060.11,1,,CB0GOC6379,9610631538,3,D,11,202108160430498D,10,Odchozí úhrada,,,T,,-29330.4,CZK,228,MONDAY,AUGUST,16,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,VLTAVA LABE MEDIA a.s.,,,,,,,,,,,,,,,,,1033041444,5500,2117018388,,0000,volby PČR - inzerce,,,
15824840.51,,,,9604251588,3,C,11,202108130110472C,11,Příchozí úhrada,,,T,,66668,CZK,225,FRIDAY,AUGUST,13,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KRALOVEHRADECKÝ KRAJ,,,225,FRIDAY,AUGUST,13,2021,8,0,0,0,0,iso8601,ISO,,,437168210257,0100,"","",0000,PŘEVOD OD KV KSČM HRADEC KRÁLOVÉ,,,
15758172.51,,,,9601597698,3,C,11,202108120283214C,11,Příchozí úhrada,,,T,,1161.6,CZK,224,THURSDAY,AUGUST,12,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KOMUNISTICKÁ STRANA,,,224,THURSDAY,AUGUST,12,2021,8,0,0,0,0,iso8601,ISO,,,2136331,0100,0000034101,0002210612,0308,převod od OV KSČM Cheb,,,
15757010.91,,,,9598401696,3,C,11,202108110253603C,11,Příchozí úhrada,,,T,,726,CZK,223,WEDNESDAY,AUGUST,11,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,MĚSTSKÉ KULTURNÍ CEN,,,223,WEDNESDAY,AUGUST,11,2021,8,0,0,0,0,iso8601,ISO,,,4933131,0100,0021010024,"",0000,,,,
15759739.91,1,,CB002EBPBV,9595423073,3,D,11,202108100294124D,10,Odchozí úhrada,,,T,,-28967,CZK,222,TUESDAY,AUGUST,10,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,MH.billboard s.r.o.,,,,,,,,,,,,,,,,,1070648940257,0100,20210278,,0308,volby PS - Kladno,,,
15788706.91,49,,CS20210810AJAZZHNZ,9595131319,39,C,02,202108105012727C,1,Okamžitá úhrada,,,T,,5000,CZK,222,TUESDAY,AUGUST,10,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,OV KS ČECH A MORAV,,,,,,,,,,,,,,,,,501901544,0600,33102,,,převod od OV KSČM český Krumlov,,,
15783706.91,,,,9594877181,3,C,11,202108100186781C,11,Příchozí úhrada,,,T,,50000,CZK,222,TUESDAY,AUGUST,10,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,KOMUNISTICKÁ STRANA,,,222,TUESDAY,AUGUST,10,2021,8,0,0,0,0,iso8601,ISO,,,1132611,0100,0000035304,"",0308,převod od OV KSČM Ústí nad Orlicí,,,
15756284.91,1,,CB002EBPBU,9595423078,3,D,11,202108100294123D,10,Odchozí úhrada,,,T,,-3455,CZK,222,TUESDAY,AUGUST,10,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,1022642,,,volby PS - Kladno,,,
15733706.91,,,,9587631168,3,C,11,202108060197624C,11,Příchozí úhrada,,,T,,766,CZK,218,FRIDAY,AUGUST,6,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,OKRESNÍ VÝBOR KOMUNI,,,218,FRIDAY,AUGUST,6,2021,8,0,0,0,0,iso8601,ISO,,,737221,0100,0000032112,"",0000,TÚ PŘEVOD od OV KSČM RAKOVNÍK fa: 1,0122028,,
15732940.91,1,,CB0GHU8359,9587507013,3,D,11,202108060161485D,10,Odchozí úhrada,,,T,,-726,CZK,218,FRIDAY,AUGUST,6,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,Městské kulturní centrum Berou,,,,,,,,,,,,,,,,,4933131,0100,21010024,,0000,volby PČR - výlep,,,
15733666.91,1,,CB0GHU8363,9587507011,3,D,11,202108060161492D,10,Odchozí úhrada,,,T,,-766,CZK,218,FRIDAY,AUGUST,6,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"RENGL, s.r.o.",,,,,,,,,,,,,,,,,3936597389,0800,10122028,,0000,volby PČR - výlep,,,
15734432.91,1,,CB0GHU8371,9587507009,3,D,11,202108060161482D,10,Odchozí úhrada,,,T,,-907.5,CZK,218,FRIDAY,AUGUST,6,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"BigMedia, spol. s r.o.",,,,,,,,,,,,,,,,,2111258839,2700,4212101508,,0000,volby PČR - plakát,,,
15735340.41,1,,CB0GHU8360,9587506995,3,D,11,202108060161488D,10,Odchozí úhrada,,,T,,-2200,CZK,218,FRIDAY,AUGUST,6,2021,8,0,0,0,0,iso8601,ISO,,,,,,,,,"FUTURA, a.s.",,,,,,,,,,,,,,,,,1921614319,0800,2021130212,,0000,volby PČR - slunečník,,,
