date,amount,type,contra_account_name,message_for_recipient,ks,vs,ss,note,entity_name,text,prediction_new_data
2021-08-04,-20000,Bezhotovostní platba,"","pp#17610 FO 2710/2021, cen:vs, provoz-infolinky-za-mesic-cervenec-2021, blanka-charvatova",,20210801,42021,"pp#17610 FO 2710/2021, cen:vs, provoz-infolinky-za-mesic-cervenec-2021, blanka-charvatova",pirati_stan,"pp#17610 FO 2710/2021, cen:vs, provoz-infolinky-za-mesic-cervenec-2021, blanka-charvatova pp#17610 FO 2710/2021, cen:vs, provoz-infolinky-za-mesic-cervenec-2021, blanka-charvatova",d
2021-08-04,-16000,Platba převodem uvnitř banky,"","pp#17609 FO 2709/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, jindriska-kolarikova",,202103,42021,"pp#17609 FO 2709/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, jindriska-kolarikova",pirati_stan,"pp#17609 FO 2709/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, jindriska-kolarikova pp#17609 FO 2709/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, jindriska-kolarikova",d
2021-08-04,-16000,Bezhotovostní platba,"","pp#17608 FO 2708/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, mgr-ondrej-herzan",,20210701,42021,"pp#17608 FO 2708/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, mgr-ondrej-herzan",pirati_stan,"pp#17608 FO 2708/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, mgr-ondrej-herzan pp#17608 FO 2708/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, mgr-ondrej-herzan",d
2021-08-04,-8000,Bezhotovostní platba,"","pp#17607 FO 2707/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, petr-oprsal",,20210801,42021,"pp#17607 FO 2707/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, petr-oprsal",pirati_stan,"pp#17607 FO 2707/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, petr-oprsal pp#17607 FO 2707/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, petr-oprsal",d
2021-08-04,-8000,Bezhotovostní platba,"","pp#17606 FO 2706/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, linda-neubergova",,221,42021,"pp#17606 FO 2706/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, linda-neubergova",pirati_stan,"pp#17606 FO 2706/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, linda-neubergova pp#17606 FO 2706/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, linda-neubergova",d
2021-08-04,-16000,Bezhotovostní platba,"","pp#17605 FO 2705/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, michal-soltys",,202107,42021,"pp#17605 FO 2705/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, michal-soltys",pirati_stan,"pp#17605 FO 2705/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, michal-soltys pp#17605 FO 2705/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, michal-soltys",d
2021-08-04,-16000,Bezhotovostní platba,"","pp#17602 FO 2702/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, renata-erzsebet-nemeth",,20210802,42021,"pp#17602 FO 2702/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, renata-erzsebet-nemeth",pirati_stan,"pp#17602 FO 2702/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, renata-erzsebet-nemeth pp#17602 FO 2702/2021, cen:vs, provedene-prace-v-ramci-tymu-odpovidacu-cervenec, renata-erzsebet-nemeth",d
2021-08-04,-101640,Bezhotovostní platba,"","pp#17598 FO 2698/2021, cen:vs, stemmark-pruzkum, stemmark-as",308,20210416,42021,"pp#17598 FO 2698/2021, cen:vs, stemmark-pruzkum, stemmark-as",pirati_stan,"pp#17598 FO 2698/2021, cen:vs, stemmark-pruzkum, stemmark-as pp#17598 FO 2698/2021, cen:vs, stemmark-pruzkum, stemmark-as",d
2021-08-04,-8712,Bezhotovostní platba,"","pp#17594 FO 2695/2021, msk:p, zalohova-faktura-2021-volby-psp-billboard-bruntal, vesna-liberec-spol-s-ro",8,21073,42021,"pp#17594 FO 2695/2021, msk:p, zalohova-faktura-2021-volby-psp-billboard-bruntal, vesna-liberec-spol-s-ro",pirati_stan,"pp#17594 FO 2695/2021, msk:p, zalohova-faktura-2021-volby-psp-billboard-bruntal, vesna-liberec-spol-s-ro pp#17594 FO 2695/2021, msk:p, zalohova-faktura-2021-volby-psp-billboard-bruntal, vesna-liberec-spol-s-ro",d
2021-08-04,-4326,Bezhotovostní platba,"","pp#17592 FO 2693/2021, jhc:p, bistro-stolky, tentino-sro",,20211576,42021,"pp#17592 FO 2693/2021, jhc:p, bistro-stolky, tentino-sro",pirati_stan,"pp#17592 FO 2693/2021, jhc:p, bistro-stolky, tentino-sro pp#17592 FO 2693/2021, jhc:p, bistro-stolky, tentino-sro",d
2021-08-04,-64281.43,Platba převodem uvnitř banky,"","FO 2732/2021 Mzdové náklady Analytička, psavkyně - 202106",,,,"FO 2732/2021 Mzdové náklady Analytička, psavkyně - 202106",pirati_stan,"FO 2732/2021 Mzdove naklady Analyticka, psavkyne - 202106 FO 2732/2021 Mzdove naklady Analyticka, psavkyne - 202106",d
2021-08-04,-65323.51,Platba převodem uvnitř banky,"","FO 2722/2021 Mzdové náklady Analytik, psavec - 202106",,,,"FO 2722/2021 Mzdové náklady Analytik, psavec - 202106",pirati_stan,"FO 2722/2021 Mzdove naklady Analytik, psavec - 202106 FO 2722/2021 Mzdove naklady Analytik, psavec - 202106",d
2021-08-04,-35544,Platba převodem uvnitř banky,"","FO 1951/2021 Mzdové náklady Analytička, psavkyně - 202105",,,,"FO 1951/2021 Mzdové náklady Analytička, psavkyně - 202105",pirati_stan,"FO 1951/2021 Mzdove naklady Analyticka, psavkyne - 202105 FO 1951/2021 Mzdove naklady Analyticka, psavkyne - 202105",d
2021-08-04,-36700,Platba převodem uvnitř banky,"","FO 1942/2021 Mzdové náklady Analytik, psavec - 202105",,,,"FO 1942/2021 Mzdové náklady Analytik, psavec - 202105",pirati_stan,"FO 1942/2021 Mzdove naklady Analytik, psavec - 202105 FO 1942/2021 Mzdove naklady Analytik, psavec - 202105",d
2021-08-04,-89663,Platba převodem uvnitř banky,"",FO 2733/2021 Mzdové náklady Social media manager - 202106,,,,FO 2733/2021 Mzdové náklady Social media manager - 202106,pirati_stan,FO 2733/2021 Mzdove naklady Social media manager - 202106 FO 2733/2021 Mzdove naklady Social media manager - 202106,d
2021-08-04,-49805,Platba převodem uvnitř banky,"",FO 1971/2021 Mzdové náklady Social media manager - 202105,,,,FO 1971/2021 Mzdové náklady Social media manager - 202105,pirati_stan,FO 1971/2021 Mzdove naklady Social media manager - 202105 FO 1971/2021 Mzdove naklady Social media manager - 202105,d
2021-08-04,-58875.5,Platba převodem uvnitř banky,"",FO 1970/2021 Mzdové náklady Junior MO - 202106,,,,FO 1970/2021 Mzdové náklady Junior MO - 202106,pirati_stan,FO 1970/2021 Mzdove naklady Junior MO - 202106 FO 1970/2021 Mzdove naklady Junior MO - 202106,d
2021-08-04,-33349.21,Platba převodem uvnitř banky,"",FO 2734/2021 Mzdové náklady Junior MO - 202105,,,,FO 2734/2021 Mzdové náklady Junior MO - 202105,pirati_stan,FO 2734/2021 Mzdove naklady Junior MO - 202105 FO 2734/2021 Mzdove naklady Junior MO - 202105,d
2021-08-04,31000,Platba převodem uvnitř banky,Česká pirátská strana,"pp#15840 FO 1070/2021, cen:mo, proplaceni-pr-manazer-202104, karolinasadilkova/OPRAVA ÚČTU",,,,"pp#15840 FO 1070/2021, cen:mo, proplaceni-pr-manazer-202104, karolinasadilkova/OPRAVA ÚČTU",pirati_stan,"pp#15840 FO 1070/2021, cen:mo, proplaceni-pr-manazer-202104, karolinasadilkova/OPRAVA UCTU pp#15840 FO 1070/2021, cen:mo, proplaceni-pr-manazer-202104, karolinasadilkova/OPRAVA UCTU",d
2021-08-04,32000,Platba převodem uvnitř banky,Česká pirátská strana,"FO 753/2021, cen:mo, proplaceni-pr-manazer-202103, karolinasadilkova/OPRAVA ÚČTU",,,,"FO 753/2021, cen:mo, proplaceni-pr-manazer-202103, karolinasadilkova/OPRAVA ÚČTU",pirati_stan,"FO 753/2021, cen:mo, proplaceni-pr-manazer-202103, karolinasadilkova/OPRAVA UCTU FO 753/2021, cen:mo, proplaceni-pr-manazer-202103, karolinasadilkova/OPRAVA UCTU",d
2021-08-04,32000,Platba převodem uvnitř banky,Česká pirátská strana,"pp#15243 FO 518/2021, cen:mo, proplaceni-pr-manazer-unor, karolinasadilkova/OPRAVA ÚČTU",,,,"pp#15243 FO 518/2021, cen:mo, proplaceni-pr-manazer-unor, karolinasadilkova/OPRAVA ÚČTU",pirati_stan,"pp#15243 FO 518/2021, cen:mo, proplaceni-pr-manazer-unor, karolinasadilkova/OPRAVA UCTU pp#15243 FO 518/2021, cen:mo, proplaceni-pr-manazer-unor, karolinasadilkova/OPRAVA UCTU",d
2021-08-04,32000,Platba převodem uvnitř banky,Česká pirátská strana,"pp#14880 FO 162/2021, cen:mo, proplaceni-pr-manazer-volebni-kampan-leden-2021, karolinasadilkova/OPRAVA ÚČTU",,,,"pp#14880 FO 162/2021, cen:mo, proplaceni-pr-manazer-volebni-kampan-leden-2021, karolinasadilkova/OPRAVA ÚČTU",pirati_stan,"pp#14880 FO 162/2021, cen:mo, proplaceni-pr-manazer-volebni-kampan-leden-2021, karolinasadilkova/OPRAVA UCTU pp#14880 FO 162/2021, cen:mo, proplaceni-pr-manazer-volebni-kampan-leden-2021, karolinasadilkova/OPRAVA UCTU",d
2021-08-04,19000,Platba převodem uvnitř banky,STAROSTOVÉ A NEZÁVISLÍ,STAN - převod prostředků na volební účet pro Karlovarský kraj,,,,STAN - převod prostředků na volební účet pro Karlovarský kraj,pirati_stan,STAN - prevod prostredku na volebni ucet pro Karlovarsky kraj STAN - prevod prostredku na volebni ucet pro Karlovarsky kraj,o
2021-08-04,-2795,Platba převodem uvnitř banky,"","pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje",,12,42021,"pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje",pirati_stan,"pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje",d
2021-08-04,-1000,Platba převodem uvnitř banky,"",Dar Jarmila Plavcová poslán na chybný účet,,,,Dar Jarmila Plavcová poslán na chybný účet,pirati_stan,Dar Jarmila Plavcova poslan na chybny ucet Dar Jarmila Plavcova poslan na chybny ucet,d
2021-08-04,2247695,Platba převodem uvnitř banky,STAROSTOVÉ A NEZÁVISLÍ,STAN - dary na sněmovní volby,,,,STAN - dary na sněmovní volby,pirati_stan,STAN - dary na snemovni volby STAN - dary na snemovni volby,d
2021-08-04,-2420,Karetní transakce,"","Nákup: FOTOBANKA CTK,  Opletalova 5/7, PRAHA, 111 44, CZE, dne 3.8.2021, částka  2420.00 CZK",,9967,,"Nákup: FOTOBANKA CTK,  Opletalova 5/7, PRAHA, 111 44, CZE, dne 3.8.2021, částka  2420.00 CZK",pirati_stan,"Nakup: FOTOBANKA CTK, Opletalova 5/7, PRAHA, 111 44, CZE, dne 3.8.2021, castka 2420.00 CZK Nakup: FOTOBANKA CTK, Opletalova 5/7, PRAHA, 111 44, CZE, dne 3.8.2021, castka 2420.00 CZK",d
2021-08-04,-204.31,Karetní transakce,"","Nákup: FACEBK *8LLX97T3Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, částka  204.31 CZK",,6835,,"Nákup: FACEBK *8LLX97T3Q2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, částka  204.31 CZK",pirati_stan,"Nakup: FACEBK *8LLX97T3Q2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, castka 204.31 CZK Nakup: FACEBK *8LLX97T3Q2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, castka 204.31 CZK",f
2021-08-04,-5000,Karetní transakce,"","Nákup: FACEBK *G7VS77BSG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, částka  5000.00 CZK",,6835,,"Nákup: FACEBK *G7VS77BSG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, částka  5000.00 CZK",pirati_stan,"Nakup: FACEBK *G7VS77BSG2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, castka 5000.00 CZK Nakup: FACEBK *G7VS77BSG2, Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 3.8.2021, castka 5000.00 CZK",f
2021-08-03,-50000.18,Platba cizoměnová či zahraniční,"","FO 2641/2021 - Jakub Suster PR cerv
		enec 2021",,20210106,,FO 2641/2021 - Jakub Šuster PR červenec 2021,pirati_stan,FO 2641/2021 - Jakub Suster PR cerv enec 2021 FO 2641/2021 - Jakub Suster PR cervenec 2021,d
2021-08-03,-50000,Bezhotovostní platba,"","pp#17577 FO 2680/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202107, evavysanska",,2021016,42021,"pp#17577 FO 2680/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202107, evavysanska",pirati_stan,"pp#17577 FO 2680/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202107, evavysanska pp#17577 FO 2680/2021, pha:p, proplaceni-rizeni-volebni-kampane-ks-praha-202107, evavysanska",d
2021-08-03,-32000,Bezhotovostní platba,"","pp#17575 FO 2678/2021, pha:p, proplaceni-prikazni-smlouva-martin-sterba-socialni-site-2021-202107, mgr-martin-sterba",308,20210045,42021,"pp#17575 FO 2678/2021, pha:p, proplaceni-prikazni-smlouva-martin-sterba-socialni-site-2021-202107, mgr-martin-sterba",pirati_stan,"pp#17575 FO 2678/2021, pha:p, proplaceni-prikazni-smlouva-martin-sterba-socialni-site-2021-202107, mgr-martin-sterba pp#17575 FO 2678/2021, pha:p, proplaceni-prikazni-smlouva-martin-sterba-socialni-site-2021-202107, mgr-martin-sterba",d
2021-08-03,-267,Bezhotovostní platba,"","pp#17574 FO 2677/2021, pha:p, obcerstveni-na-kampan-meeting, vase-pekarna-as",,2030821,42021,"pp#17574 FO 2677/2021, pha:p, obcerstveni-na-kampan-meeting, vase-pekarna-as",pirati_stan,"pp#17574 FO 2677/2021, pha:p, obcerstveni-na-kampan-meeting, vase-pekarna-as pp#17574 FO 2677/2021, pha:p, obcerstveni-na-kampan-meeting, vase-pekarna-as",d
2021-08-03,-600,Bezhotovostní platba,"","pp#17573 FO 2676/2021, pha:p, kvetina-jan-lacina, kvetiny-mimosa",,1030821,42021,"pp#17573 FO 2676/2021, pha:p, kvetina-jan-lacina, kvetiny-mimosa",pirati_stan,"pp#17573 FO 2676/2021, pha:p, kvetina-jan-lacina, kvetiny-mimosa pp#17573 FO 2676/2021, pha:p, kvetina-jan-lacina, kvetiny-mimosa",d
2021-08-03,-600,Bezhotovostní platba,"","pp#17572 FO 2675/2021, pha:p, kvetina-olga-richterova, kvetiny-mimosa",,30821,42021,"pp#17572 FO 2675/2021, pha:p, kvetina-olga-richterova, kvetiny-mimosa",pirati_stan,"pp#17572 FO 2675/2021, pha:p, kvetina-olga-richterova, kvetiny-mimosa pp#17572 FO 2675/2021, pha:p, kvetina-olga-richterova, kvetiny-mimosa",d
2021-08-03,-32000,Bezhotovostní platba,"","pp#17559 FO 2662/2021, pha:p, proplaceni-sprava-socialnich-medii-ks-praha-202107, tomasvovsik",,20210014,42021,"pp#17559 FO 2662/2021, pha:p, proplaceni-sprava-socialnich-medii-ks-praha-202107, tomasvovsik",pirati_stan,"pp#17559 FO 2662/2021, pha:p, proplaceni-sprava-socialnich-medii-ks-praha-202107, tomasvovsik pp#17559 FO 2662/2021, pha:p, proplaceni-sprava-socialnich-medii-ks-praha-202107, tomasvovsik",d
2021-08-03,-15000,Bezhotovostní platba,"","pp#17548 FO 2651/2021, pha:p, proplaceni-snemovni-kampan-stan-praha-202107, vitezslav_klement",,20210047,42021,"pp#17548 FO 2651/2021, pha:p, proplaceni-snemovni-kampan-stan-praha-202107, vitezslav_klement",pirati_stan,"pp#17548 FO 2651/2021, pha:p, proplaceni-snemovni-kampan-stan-praha-202107, vitezslav_klement pp#17548 FO 2651/2021, pha:p, proplaceni-snemovni-kampan-stan-praha-202107, vitezslav_klement",d
2021-08-03,-1210,Bezhotovostní platba,"","pp#17581 FO 2684/2021, khk:p, palety-na-lavicky, chaloupka-jan",,1112021,42021,"pp#17581 FO 2684/2021, khk:p, palety-na-lavicky, chaloupka-jan",pirati_stan,"pp#17581 FO 2684/2021, khk:p, palety-na-lavicky, chaloupka-jan pp#17581 FO 2684/2021, khk:p, palety-na-lavicky, chaloupka-jan",o
2021-08-03,-510.96,Platba převodem uvnitř banky,"","pp#17576 FO 2679/2021, cen:vs, krizovka-do-koalicnich-listu, alfasoft-sro",,2021665,42021,"pp#17576 FO 2679/2021, cen:vs, krizovka-do-koalicnich-listu, alfasoft-sro",pirati_stan,"pp#17576 FO 2679/2021, cen:vs, krizovka-do-koalicnich-listu, alfasoft-sro pp#17576 FO 2679/2021, cen:vs, krizovka-do-koalicnich-listu, alfasoft-sro",d
2021-08-03,-30000,Bezhotovostní platba,"","pp#17556 FO 2659/2021, cen:ft, medialni-poradenstvi-za-mesic-cervenec-2021, mgr-lubomira-cerna",,20210007,333,"pp#17556 FO 2659/2021, cen:ft, medialni-poradenstvi-za-mesic-cervenec-2021, mgr-lubomira-cerna",pirati_stan,"pp#17556 FO 2659/2021, cen:ft, medialni-poradenstvi-za-mesic-cervenec-2021, mgr-lubomira-cerna pp#17556 FO 2659/2021, cen:ft, medialni-poradenstvi-za-mesic-cervenec-2021, mgr-lubomira-cerna",d
2021-08-03,-6000,Bezhotovostní platba,"","pp#17555 FO 2658/2021, cen:ft, sprava-fb-stan-praha-copywriting-cervenec, simon-ornest",,26,333,"pp#17555 FO 2658/2021, cen:ft, sprava-fb-stan-praha-copywriting-cervenec, simon-ornest",pirati_stan,"pp#17555 FO 2658/2021, cen:ft, sprava-fb-stan-praha-copywriting-cervenec, simon-ornest pp#17555 FO 2658/2021, cen:ft, sprava-fb-stan-praha-copywriting-cervenec, simon-ornest",d
2021-08-03,-9000,Platba převodem uvnitř banky,"","pp#17554 FO 2657/2021, cen:ft, pr-sluzby-pro-hejtmana-p-kulhanka-cervenec-2021, petr-slezak",,20210042,333,"pp#17554 FO 2657/2021, cen:ft, pr-sluzby-pro-hejtmana-p-kulhanka-cervenec-2021, petr-slezak",pirati_stan,"pp#17554 FO 2657/2021, cen:ft, pr-sluzby-pro-hejtmana-p-kulhanka-cervenec-2021, petr-slezak pp#17554 FO 2657/2021, cen:ft, pr-sluzby-pro-hejtmana-p-kulhanka-cervenec-2021, petr-slezak",d
2021-08-03,-12100,Platba převodem uvnitř banky,"","pp#17553 FO 2656/2021, cen:ft, pr-sluzby-pro-hejtmana-petra-kulhanka-stan-karlovarsky-kraj-cervenec, petr-nutil",,20210058,333,"pp#17553 FO 2656/2021, cen:ft, pr-sluzby-pro-hejtmana-petra-kulhanka-stan-karlovarsky-kraj-cervenec, petr-nutil",pirati_stan,"pp#17553 FO 2656/2021, cen:ft, pr-sluzby-pro-hejtmana-petra-kulhanka-stan-karlovarsky-kraj-cervenec, petr-nutil pp#17553 FO 2656/2021, cen:ft, pr-sluzby-pro-hejtmana-petra-kulhanka-stan-karlovarsky-kraj-cervenec, petr-nutil",d
2021-08-03,-2000,Bezhotovostní platba,"","pp#17552 FO 2655/2021, cen:ft, sprava-fb-profilu-t-hrebika-cervenec-2021, tomas-nakladal",308,2021008,333,"pp#17552 FO 2655/2021, cen:ft, sprava-fb-profilu-t-hrebika-cervenec-2021, tomas-nakladal",pirati_stan,"pp#17552 FO 2655/2021, cen:ft, sprava-fb-profilu-t-hrebika-cervenec-2021, tomas-nakladal pp#17552 FO 2655/2021, cen:ft, sprava-fb-profilu-t-hrebika-cervenec-2021, tomas-nakladal",d
2021-08-03,-35000,Bezhotovostní platba,"","pp#17551 FO 2654/2021, cen:ft, graficke-prace-mesic-cervenec, petra-susserova",308,20210048,333,"pp#17551 FO 2654/2021, cen:ft, graficke-prace-mesic-cervenec, petra-susserova",pirati_stan,"pp#17551 FO 2654/2021, cen:ft, graficke-prace-mesic-cervenec, petra-susserova pp#17551 FO 2654/2021, cen:ft, graficke-prace-mesic-cervenec, petra-susserova",d
2021-08-03,-5707.06,Bezhotovostní platba,"","pp#17544 FO 2647/2021, msk:p, 2021-volby-psp-propagace-fb-a-ig-pro-stan-07, facebook-ireland-limited",,84559514,42021,"pp#17544 FO 2647/2021, msk:p, 2021-volby-psp-propagace-fb-a-ig-pro-stan-07, facebook-ireland-limited",pirati_stan,"pp#17544 FO 2647/2021, msk:p, 2021-volby-psp-propagace-fb-a-ig-pro-stan-07, facebook-ireland-limited pp#17544 FO 2647/2021, msk:p, 2021-volby-psp-propagace-fb-a-ig-pro-stan-07, facebook-ireland-limited",d
