"date","amount","type","contra_account_name","message_for_recipient","ks","vs","ss","note"
"26.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 24.7.2021, částka  15000.00 CZK"
"26.07.2021",-500,"Karetní transakce","","Nákup: FACEBK *QRE8V6FVY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  500.00 CZK",NA,8267,NA,"Nákup: FACEBK *QRE8V6FVY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  500.00 CZK"
"26.07.2021",-20000,"Karetní transakce","","Nákup: FACEBK *JS66K6TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  20000.00 CZK",NA,8267,NA,"Nákup: FACEBK *JS66K6TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 25.7.2021, částka  20000.00 CZK"
"26.07.2021",2795,"Bezhotovostní příjem","Hypoteční banka, a.s","Neexistující účet - číslo účtu 000000-2800088628",6,12,42021,"Hypoteční banka, a.s"
"24.07.2021",-181.46,"Karetní transakce","","Nákup: FACEBK *MXA4V5PRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, částka  181.46 CZK",NA,6835,NA,"Nákup: FACEBK *MXA4V5PRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 24.7.2021, částka  181.46 CZK"
"24.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK"
"24.07.2021",-122.89,"Karetní transakce","","Nákup: FACEBK *JQ8J2FTKX2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  122.89 CZK",NA,6835,NA,"Nákup: FACEBK *JQ8J2FTKX2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  122.89 CZK"
"24.07.2021",-3040.11,"Karetní transakce","","Nákup: FACEBK *FJAQU63PY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  3040.11 CZK",NA,8267,NA,"Nákup: FACEBK *FJAQU63PY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  3040.11 CZK"
"24.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK"
"24.07.2021",-5000,"Karetní transakce","","Nákup: FACEBK *TJTDS6FRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  5000.00 CZK",NA,6835,NA,"Nákup: FACEBK *TJTDS6FRG2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  5000.00 CZK"
"24.07.2021",-20000,"Karetní transakce","","Nákup: FACEBK *MSMVS63VF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  20000.00 CZK",NA,8267,NA,"Nákup: FACEBK *MSMVS63VF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 23.7.2021, částka  20000.00 CZK"
"23.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 23.7.2021, částka  15000.00 CZK"
"23.07.2021",-63416,"Platba převodem uvnitř banky","","pp#17397 FO 2515/2021, pha:p, merch, need-art-sro",8,2421,42021,"pp#17397 FO 2515/2021, pha:p, merch, need-art-sro"
"23.07.2021",-2795,"Bezhotovostní platba","","pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje",NA,12,42021,"pp#17365 FO 2494/2021, jhm:p, material-na-neckyadu, provozni-vydaje"
"23.07.2021",-321.54,"Bezhotovostní platba","","pp#17354 FO 2484/2021, khk:p, zasilkovna, zasilkovna-sro",NA,11,42021,"pp#17354 FO 2484/2021, khk:p, zasilkovna, zasilkovna-sro"
"23.07.2021",-35000,"Bezhotovostní platba","","pp#17343 FO 2473/2021, msk:p, proplaceni-medialni-koordinator-202106, janaozanova",NA,202107,NA,"pp#17343 FO 2473/2021, msk:p, proplaceni-medialni-koordinator-202106, janaozanova"
"23.07.2021",-7260,"Bezhotovostní platba","","pp#17335 FO 2465/2021, stc:p, brozury, tiskarna-daniel-sro",308,221070054,42021,"pp#17335 FO 2465/2021, stc:p, brozury, tiskarna-daniel-sro"
"23.07.2021",-18750,"Bezhotovostní platba","","pp#17334 FO 2464/2021, jhm:p, linda-hrubesova-pr-cerven-2021, linda-hrubesova",NA,20216,0,"pp#17334 FO 2464/2021, jhm:p, linda-hrubesova-pr-cerven-2021, linda-hrubesova"
"23.07.2021",-31250,"Bezhotovostní platba","","pp#17333 FO 2463/2021, jhm:p, magda-koutska-pr-cerven-2021, magdalena-koutska",NA,21060003,0,"pp#17333 FO 2463/2021, jhm:p, magda-koutska-pr-cerven-2021, magdalena-koutska"
"23.07.2021",-7500,"Okamžitá odchozí platba","","pp#17373 FO 2499/2021, cen:vs, predvolebni-web-konzultace-a-textova-uprava-2-sady-programovych-bodu, radek-antl",NA,20210041,42021,"pp#17373 FO 2499/2021, cen:vs, predvolebni-web-konzultace-a-textova-uprava-2-sady-programovych-bodu, radek-antl"
"23.07.2021",-1414.5,"Karetní transakce","","Nákup: FACEBK *JYKNB4FC52,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, částka  1414.50 CZK",NA,6835,NA,"Nákup: FACEBK *JYKNB4FC52,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 22.7.2021, částka  1414.50 CZK"
"23.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 22.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 22.7.2021, částka  15000.00 CZK"
"22.07.2021",-22990,"Bezhotovostní platba","","pp#17362 FO 2491/2021, cen:mo, technicky-rozvoj-a-sprava-webu, michal-bohac",308,210100038,NA,"pp#17362 FO 2491/2021, cen:mo, technicky-rozvoj-a-sprava-webu, michal-bohac"
"22.07.2021",-3648,"Bezhotovostní platba","","pp#17360 FO 2489/2021, zlk:p, hledani-pokladu-produkce, obcerstveni",NA,24892021,42021,"pp#17360 FO 2489/2021, zlk:p, hledani-pokladu-produkce, obcerstveni"
"22.07.2021",-19178,"Bezhotovostní platba","","pp#17338 FO 2468/2021, cen:vs, kameramanske-prace-na-projektu-medailonky-tomas-muller, tomas-moravec",NA,242021,42021,"pp#17338 FO 2468/2021, cen:vs, kameramanske-prace-na-projektu-medailonky-tomas-muller, tomas-moravec"
"22.07.2021",-29904,"Bezhotovostní platba","","pp#17337 FO 2467/2021, cen:vs, kameramanske-prace-na-projektu-medailonky-petr-tresnak, tomas-moravec",NA,232021,42021,"pp#17337 FO 2467/2021, cen:vs, kameramanske-prace-na-projektu-medailonky-petr-tresnak, tomas-moravec"
"22.07.2021",-7000,"Bezhotovostní platba","","pp#17326 FO 2456/2021, cen:mo, proplaceni-copyrighting-202106, andreamadlova",NA,20210004,NA,"pp#17326 FO 2456/2021, cen:mo, proplaceni-copyrighting-202106, andreamadlova"
"22.07.2021",-1200,"Bezhotovostní platba","","pp#17330 FO 2460/2021, plk:p, plakat-na-plot-klatovy, truong-thi-hong-van",NA,21072021,42021,"pp#17330 FO 2460/2021, plk:p, plakat-na-plot-klatovy, truong-thi-hong-van"
"22.07.2021",-5250,"Platba převodem uvnitř banky","","pp#17314 FO 2444/2021, cen:vs, graficke-prace, vratislav-filipek",NA,20210034,42021,"pp#17314 FO 2444/2021, cen:vs, graficke-prace, vratislav-filipek"
"22.07.2021",-119,"Bezhotovostní platba","","pp#17313 FO 2443/2021, cen:vs, dopravne-v-ramci-nanuk-tour, ppl-cz-sro",NA,2107,42021,"pp#17313 FO 2443/2021, cen:vs, dopravne-v-ramci-nanuk-tour, ppl-cz-sro"
"22.07.2021",-3150,"Bezhotovostní platba","","pp#17305 FO 2442/2021, ulk:p, trojnozka-zatec, mesto-zatec",NA,421000011,42021,"pp#17305 FO 2442/2021, ulk:p, trojnozka-zatec, mesto-zatec"
"22.07.2021",-3000,"Bezhotovostní platba","","pp#17304 FO 2441/2021, ulk:p, svatovo-dividlo-v-litomericich, svatovo-dividlo",NA,2441,42021,"pp#17304 FO 2441/2021, ulk:p, svatovo-dividlo-v-litomericich, svatovo-dividlo"
"22.07.2021",-6050,"Bezhotovostní platba","","pp#17297 FO 2434/2021, cen:vs, zalohova-faktura-sluzby-k-najemnemu-call-centrum-cervenec-2021, balliswyl-ii-as",308,210800120,42021,"pp#17297 FO 2434/2021, cen:vs, zalohova-faktura-sluzby-k-najemnemu-call-centrum-cervenec-2021, balliswyl-ii-as"
"22.07.2021",-30000,"Bezhotovostní platba","","pp#17296 FO 2433/2021, cen:vs, kauce-call-centrum, balliswyl-ii-as",308,210800119,42021,"pp#17296 FO 2433/2021, cen:vs, kauce-call-centrum, balliswyl-ii-as"
"22.07.2021",-7500,"Bezhotovostní platba","","pp#17295 FO 2432/2021, cen:vs, najemne-call-centrum-cervenec-2021, balliswyl-ii-as",308,210100192,42021,"pp#17295 FO 2432/2021, cen:vs, najemne-call-centrum-cervenec-2021, balliswyl-ii-as"
"22.07.2021",-1784.83,"Bezhotovostní platba","","pp#17276 FO 2418/2021, pha:p, reklamy-na-socialnich-sitich-cerven-2021-4, facebook-ireland-limited",NA,42107759,NA,"pp#17276 FO 2418/2021, pha:p, reklamy-na-socialnich-sitich-cerven-2021-4, facebook-ireland-limited"
"22.07.2021",-261,"Bezhotovostní platba","","pp#17270 FO 2412/2021, cen:vs, nanuky-testovani, tesco-stores-cr-as",NA,1907,42021,"pp#17270 FO 2412/2021, cen:vs, nanuky-testovani, tesco-stores-cr-as"
"22.07.2021",-95590,"Bezhotovostní platba","","pp#17266 FO 2408/2021, cen:vs, stemmark-pruzkum, stemmark-as",308,20210376,42021,"pp#17266 FO 2408/2021, cen:vs, stemmark-pruzkum, stemmark-as"
"22.07.2021",-409,"Bezhotovostní platba","","pp#17235 FO 2377/2021, cen:vs, icebagy-nanuk-tour, alzacz-as",NA,442534536,42021,"pp#17235 FO 2377/2021, cen:vs, icebagy-nanuk-tour, alzacz-as"
"22.07.2021",-3000,"Karetní transakce","","Nákup: FACEBK *HZV5S8FVJ2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 21.7.2021, částka  3000.00 CZK",NA,8267,NA,"Nákup: FACEBK *HZV5S8FVJ2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 21.7.2021, částka  3000.00 CZK"
"22.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 21.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 21.7.2021, částka  15000.00 CZK"
"21.07.2021",-38.71,"Karetní transakce","","Nákup: FACEBK *9478G5BVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 21.7.2021, částka  38.71 CZK",NA,8267,NA,"Nákup: FACEBK *9478G5BVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 21.7.2021, částka  38.71 CZK"
"21.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 21.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 21.7.2021, částka  15000.00 CZK"
"21.07.2021",-100,"Karetní transakce","","Nákup: FACEBK *TDVDZ37K62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  100.00 CZK",NA,6835,NA,"Nákup: FACEBK *TDVDZ37K62,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  100.00 CZK"
"21.07.2021",-18914.2,"Karetní transakce","","Nákup: FACEBK *825XE6TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  18914.20 CZK",NA,8267,NA,"Nákup: FACEBK *825XE6TVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  18914.20 CZK"
"21.07.2021",-20000,"Karetní transakce","","Nákup: FACEBK *FZYBC6FNY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  20000.00 CZK",NA,8267,NA,"Nákup: FACEBK *FZYBC6FNY2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  20000.00 CZK"
"21.07.2021",-102.47,"Karetní transakce","","Nákup: FACEBK *BCA866PVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  102.47 CZK",NA,8267,NA,"Nákup: FACEBK *BCA866PVF2,  Havover Reach, 5-7 Hanover Qua, fb.me/ads, DUBLIN 2, IRL, dne 20.7.2021, částka  102.47 CZK"
"20.07.2021",-22500,"Okamžitá odchozí platba","","pp#17249 FO 2391/2021, ulk:p, proplaceni-volebni-koordinator-usk-202106, adamsenk",NA,20210001,42021,"pp#17249 FO 2391/2021, ulk:p, proplaceni-volebni-koordinator-usk-202106, adamsenk"
"20.07.2021",-999.46,"Bezhotovostní platba","","pp#17278 FO 2420/2021, kvk:p, fb-reklama-petr-tresnak-kandidat-do-vladniho-tymu, karel-specian",NA,2422,42021,"pp#17278 FO 2420/2021, kvk:p, fb-reklama-petr-tresnak-kandidat-do-vladniho-tymu, karel-specian"
"20.07.2021",-4779.5,"Bezhotovostní platba","","pp#17253 FO 2395/2021, ulk:p, online-na-facebooku-2021-0701, facebook-ireland-limited",NA,2395,NA,"pp#17253 FO 2395/2021, ulk:p, online-na-facebooku-2021-0701, facebook-ireland-limited"
"20.07.2021",-33750,"Bezhotovostní platba","","pp#17210 FO 2352/2021, cen:vs, sluzby-spojene-s-poskytnutim-idea-making-sluzeb-v-predvolebni-kampani-cerven-2021, beefbrothers-sro",NA,8921,42021,"pp#17210 FO 2352/2021, cen:vs, sluzby-spojene-s-poskytnutim-idea-making-sluzeb-v-predvolebni-kampani-cerven-2021, beefbrothers-sro"
"20.07.2021",-277777.78,"Bezhotovostní platba","","pp#17209 FO 2351/2021, cen:vs, marketingove-sluzby-v-ramci-predvolebni-kampane-stran-pirati-a-starostove-a-nezavisli, beefbrothers-sro",NA,8821,42021,"pp#17209 FO 2351/2021, cen:vs, marketingove-sluzby-v-ramci-predvolebni-kampane-stran-pirati-a-starostove-a-nezavisli, beefbrothers-sro"
"20.07.2021",-1961,"Bezhotovostní platba","","pp#17191 FO 2334/2021, ulk:p, kvetiny-na-pietu-do-terezina, petr-rysler",NA,2334,42021,"pp#17191 FO 2334/2021, ulk:p, kvetiny-na-pietu-do-terezina, petr-rysler"
"20.07.2021",-116404,"Bezhotovostní platba","","pp#17285 FO 2423/2021, cen:vs, tricka-potisk-cast-2, sarka-jelinkova",NA,121008,42021,"pp#17285 FO 2423/2021, cen:vs, tricka-potisk-cast-2, sarka-jelinkova"
"20.07.2021",-991800.65,"Bezhotovostní platba","","pp#17273 FO 2415/2021, cen:vs, tisk-koalicnich-novin-pro-snemovni-volby-2021-podzimni-vlna-1-cast, luova-publishing-sro",NA,1821,42021,"pp#17273 FO 2415/2021, cen:vs, tisk-koalicnich-novin-pro-snemovni-volby-2021-podzimni-vlna-1-cast, luova-publishing-sro"
"20.07.2021",-15000,"Karetní transakce","","Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 20.7.2021, částka  15000.00 CZK",NA,8267,NA,"Nákup: GOOGLE *ADS5162857564,  Gordon House, Barrow Street, cc@google.com, UNKNOWN, IRL, dne 20.7.2021, částka  15000.00 CZK"
"20.07.2021",-10000,"Karetní transakce","","Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 19.7.2021, částka  10000.00 CZK",NA,8267,NA,"Nákup: SEZNAM.CZ,  ul.Radlicka 3294/10, Praha 5 - Smi, 150 00, CZE, dne 19.7.2021, částka  10000.00 CZK"
"19.07.2021",-40000,"Bezhotovostní platba","","pp#17252 FO 2394/2021, cen:vv, proplaceni-volebni-koordinator-202106, pavelstepanek",NA,6,NA,"pp#17252 FO 2394/2021, cen:vv, proplaceni-volebni-koordinator-202106, pavelstepanek"
"19.07.2021",-1452,"Platba převodem uvnitř banky","","pp#17222 FO 2364/2021, pha:p, vlajka-na-stany-suche-zipy, vlajkyeu-sro",NA,80672021,42021,"pp#17222 FO 2364/2021, pha:p, vlajka-na-stany-suche-zipy, vlajkyeu-sro"
"19.07.2021",-1488.3,"Bezhotovostní platba","","pp#17221 FO 2363/2021, pha:p, kappa-deska-s-orezem, graf-print-sro",NA,73721,42021,"pp#17221 FO 2363/2021, pha:p, kappa-deska-s-orezem, graf-print-sro"
"19.07.2021",-5000,"Platba převodem uvnitř banky","","pp#17262 FO 2404/2021, zlk:p, dofocenipsp21, foto-kino-zlin-sro",NA,12110087,42021,"pp#17262 FO 2404/2021, zlk:p, dofocenipsp21, foto-kino-zlin-sro"
"19.07.2021",-7531,"Platba převodem uvnitř banky","","pp#17259 FO 2401/2021, lbk:p, merch-liberecky-kraj, need-art-sro",308,2121,42021,"pp#17259 FO 2401/2021, lbk:p, merch-liberecky-kraj, need-art-sro"
"19.07.2021",-22000,"Bezhotovostní platba","","pp#17258 FO 2400/2021, cen:vs, specialista-online-marketingu-pro-kampan-cerven-2021, michal-marek",NA,20210015,42021,"pp#17258 FO 2400/2021, cen:vs, specialista-online-marketingu-pro-kampan-cerven-2021, michal-marek"
"19.07.2021",-11000,"Platba převodem uvnitř banky","","pp#17256 FO 2398/2021, cen:vs, graficke-prace-pro-projekt-co-jsme-vlastne-zac, martin-stehlik",NA,21010,42021,"pp#17256 FO 2398/2021, cen:vs, graficke-prace-pro-projekt-co-jsme-vlastne-zac, martin-stehlik"
"19.07.2021",-42017,"Bezhotovostní platba","","pp#17250 FO 2392/2021, cen:vs, rebranding-stanku-2, newtech-production-as",NA,202100192,42021,"pp#17250 FO 2392/2021, cen:vs, rebranding-stanku-2, newtech-production-as"
"19.07.2021",-58961,"Bezhotovostní platba","","pp#17233 FO 2375/2021, vys:p, zalohova-faktura-plakatova-kampan-rengl-vysocina, rengl-sro",NA,1022545,42021,"pp#17233 FO 2375/2021, vys:p, zalohova-faktura-plakatova-kampan-rengl-vysocina, rengl-sro"
"19.07.2021",-55000,"Bezhotovostní platba","","pp#17200 FO 2342/2021, stc:p, odmena-pr-managera-62021, ondrej-petr",NA,202032,NA,"pp#17200 FO 2342/2021, stc:p, odmena-pr-managera-62021, ondrej-petr"
"19.07.2021",-55000,"Bezhotovostní platba","","pp#17199 FO 2341/2021, stc:p, odmena-pr-managera-52021, ondrej-petr",NA,202031,NA,"pp#17199 FO 2341/2021, stc:p, odmena-pr-managera-52021, ondrej-petr"
"19.07.2021",-55000,"Bezhotovostní platba","","pp#17198 FO 2340/2021, stc:p, odmena-pr-managera-42021, ondrej-petr",NA,202030,NA,"pp#17198 FO 2340/2021, stc:p, odmena-pr-managera-42021, ondrej-petr"
"19.07.2021",-1058,"Bezhotovostní platba","","pp#17192 FO 2335/2021, ulk:p, ooo-obcerstveni-v-litomericich-dne-11-7, petr-rysler",NA,2335,42021,"pp#17192 FO 2335/2021, ulk:p, ooo-obcerstveni-v-litomericich-dne-11-7, petr-rysler"
"19.07.2021",-189668,"Bezhotovostní platba","","pp#17237 FO 2379/2021, cen:vs, tisk-a-distribuce-letacku-a5, jiri-weiner",NA,202110117,42021,"pp#17237 FO 2379/2021, cen:vs, tisk-a-distribuce-letacku-a5, jiri-weiner"
"19.07.2021",-3606,"Platba převodem uvnitř banky","","pp#17205 FO 2347/2021, plk:p, papirove-propisky, need-art-sro",NA,2221,42021,"pp#17205 FO 2347/2021, plk:p, papirove-propisky, need-art-sro"
"19.07.2021",-3606,"Platba převodem uvnitř banky","","pp#17226 FO 2368/2021, vys:p, vyroba-propisek, need-art-sro",8,2521,42021,"pp#17226 FO 2368/2021, vys:p, vyroba-propisek, need-art-sro"
"19.07.2021",-21175,"Platba převodem uvnitř banky","","pp#17225 FO 2367/2021, stc:p, merch, need-art-sro",NA,1921,42021,"pp#17225 FO 2367/2021, stc:p, merch, need-art-sro"
"19.07.2021",-8000,"Okamžitá odchozí platba","","pp#17251 FO 2393/2021, cen:mo, proplaceni-vedouci-odpovidacu-202107-doplatek-faktury, michalzachar",NA,60072021,NA,"pp#17251 FO 2393/2021, cen:mo, proplaceni-vedouci-odpovidacu-202107-doplatek-faktury, michalzachar"
